0,0,2,12,319
0,0,2,0,320
0,0,2,8,321
0,0,2,17,322
0,0,2,44,323
0,0,2,41,324
0,0,2,37,325
0,1,1,4,326
0,1,1,54,327
0,1,1,46,328
0,1,1,51,329
0,0,2,23,330
0,0,3,51,331
0,0,3,46,332
0,0,3,47,333
0,0,3,44,334
0,0,3,53,335
0,0,3,40,336
0,0,2,27,337
0,0,3,43,338
0,0,3,59,339
0,0,3,55,340
0,0,3,62,341
0,0,3,57,342
0,1,1,6,343
0,1,1,60,344
0,1,1,40,345
0,1,0,2,346
0,1,0,14,347
0,1,1,42,348
0,0,3,0,349
0,0,3,3,350
0,0,3,32,351
0,0,3,64,352
0,0,3,33,353
0,0,3,31,354
0,0,3,63,355
0,0,3,34,356
0,0,3,37,357
0,0,3,35,358
0,0,3,41,359
0,1,1,7,360
0,1,1,55,361
0,1,1,44,362
0,1,1,53,363
0,1,0,24,364
0,1,0,65,365
0,0,3,2,366
0,0,3,1,367
0,0,3,4,368
0,0,3,54,369
0,0,3,39,370
0,0,3,50,371
0,0,3,49,372
0,0,3,52,373
0,0,3,42,374
0,0,3,48,375
0,0,3,38,376
0,1,1,5,377
0,1,1,63,378
0,1,1,41,379
0,1,1,61,380
0,1,0,18,381
0,1,0,66,382
0,1,0,64,383
0,1,0,67,384
0,0,3,6,385
0,0,3,8,386
0,0,3,13,387
0,0,3,17,388
0,0,3,24,389
0,0,3,60,390
0,0,3,36,391
0,0,3,61,392
0,1,1,8,393
0,1,1,59,394
0,1,1,43,395
0,1,1,52,396
0,1,0,25,397
0,1,0,37,398
0,1,0,61,399
0,1,0,63,400
0,0,3,7,401
0,0,3,5,402
0,0,3,9,403
0,0,3,14,404
0,0,3,25,405
0,0,3,29,406
0,0,3,58,407
0,0,3,66,408
0,1,1,10,409
0,1,1,64,410
0,1,1,35,411
0,1,1,66,412
0,1,0,16,413
0,1,0,1,414
0,1,0,15,415
0,1,0,57,416
0,1,0,60,417
0,1,0,62,418
0,0,3,12,419
0,0,3,16,420
0,0,3,21,421
0,0,3,28,422
0,0,3,30,423
0,1,1,12,424
0,1,1,67,425
0,1,1,49,426
0,1,1,58,427
0,1,0,29,428
0,1,0,36,429
0,1,0,26,430
0,1,0,52,431
0,1,0,55,432
0,1,0,58,433
0,0,3,10,434
0,0,3,15,435
0,0,3,18,436
0,0,3,26,437
0,0,3,27,438
0,1,1,9,439
0,1,1,15,440
0,1,1,13,441
0,1,1,65,442
0,1,1,38,443
0,1,0,34,444
0,1,0,19,445
0,1,0,48,446
0,1,0,51,447
0,1,0,53,448
0,1,0,54,449
0,1,0,59,450
0,0,3,20,451
